ID,Rating
E12R345,4.2
TY54NY4,3.9
D90RM41,4.1
GR7LX43,3.6
KP3ZU8C,2.9
TR6M8XZ,3.0
Y187MOY,0.4
IYJYK3B,4.0
0Q7JMFH,3.5
9PH12B5,3.1
H0L32PN,4.1
LJ2TO5T,5.0
LM5DLO7,2.8
K8VY7I0,2.8
PI05NXV,3.8
UT3L8IH,4.9
F7E89GT,3.6
SM57Q88,4.5
R45TH50,2.6
RE2PH9L,4.0
M3R6V9L,3.8
CR56T2H,5.0
VW5Z11G,0.6
3FI2CZX,2.4
MK41D6I,3.5
P89BH32,4.2
S1G55XA,1.9
N4S103X,3.2
6D5ZA02,1.4
UL47J09,2.4
25DBF93L,2.9
MC33G4CS,4.2
RF21WRM,5.0
4SPHU08,3.8
EL303Y4,4.6
0FN32UY,1.5
ON18P0J,3.4
H4W1F3U,4.1
R0B1N66,4.6
P5RS09D,3.1
8KF30IQ,1.4
53DS90P,2.3
AJ85MY2,3.9
MSF33E2,0.4
6C78Y4S,0.2
UI985T3,4.6
24N8A0J,2.3
U09FC38,1.1
7BI4R2H,2.0
ZF2OA39,1.3
1BG98KB,0.2
YV1G47E,2.9
R30D590,0.6
4PS5X2A,0.7
L3D182W,1.8
A3WT4BZ,2.3
68HP3T4,4.4
K76XC43,4.2
GV51C0J,3.4
5CL23FL,4.8
78RU2GB,1.9
D0A24E1,3.8
PB5Y71M,2.5
UC58ES4,0.3
D5MC33F,5.0
